Localidades de Pueblos Indigenas u Originarios - resultado de busqueda,,,,,,,
Nombre,Tipo de localidad de pueblos indigenas,Pueblo indigena,Departamento,Provincia,Distrito,Reconocimiento,Titulacion
Abana,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Achu,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  278-OAE-ORAMS-II-77,R.D. 2221-77-DGRA-AR
Achu,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  553-97-RENOM/DSRAG-J,R.S.R.S. 724-97-RENOM/DSRAG-J
Achu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Achuaga,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  314-OAE-ORAMS-II-75,R.D. 2640-75-DGRA-AR
Achuim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  051-OAE-ORAMS-II-76,R.D. 2220-77-DGRA-AR
Adsacusa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  323-OAE-ORAMS-II-75,R.D. 2614-75-DGRA-AR
Agkais,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  178-93-RENOM/DSRAG-J,R.D. 016-94-RENOM-DRA
Aintam,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.D.  211-99-CTAR-A-DR-AG/D,R.D. 638-99-CTAR-A-DR-AG/D
Aintam,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Ajachin,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D.198-79-AA-DR-XI,R.M. 00081-80-AA-DGRA-AR
Ajamchin,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Ajuntai-entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  062-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 113-98-CTAR-CAJ/DSRAG-J
Alianza Progreso,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.  315-OAE-ORAMS-II-75,R.D. 2619-75-DGRA-AR
Alto Bichanak,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D. 048-99-CTAR-A-DR-AG/D,R.D. 156-99-CTAR-A-DR-AG/D
Alto Dapinza,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Alto Ipacuma,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Alto Kuit,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Alto Numpatkaim,Comunidad Nativa,Awajun,Amazonas,Bagua,Aramango,R.S.R.S. 275-97-RENOM/DSRAG-J,R.D. 117-97-AG-DRA
Alto Pajakus,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  230-OAE-ORAMS-II-76,R.D. 1463-77-DGRA-AR
Alto Panqui - Panki,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Alto Pupuntas,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Alto Shimutas,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  252-OAE-ORAMS-II-76,R.D. 4567-76-DGRA-AR
Alto Tuntus,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 153-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 169-98-CTAR-CAJ/DSRAG-J
Alto Waisim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Alto Wawaim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Alto Wawas,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D. 314-99-CTAR-A-DR-AG/D,R.D. 364-99-CTAR-A-DR-AG/D
Alto Yutupis,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Ambuja,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Ampama,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Ankuship,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
