"","DISTRITO","PROVINCIA","POSITIVOS","FALLECIDOS"
"1","ALEXANDER VON HUMBOLDT","PADRE ABAD",14,NA
"2","CALLERIA","CORONEL PORTILLO",2444,52
"3","CAMPOVERDE","CORONEL PORTILLO",37,NA
"4","CURIMANA","PADRE ABAD",1,NA
"5","EN INVESTIGACIÓN","EN INVESTIGACIÓN",227,NA
"6","IPARIA","CORONEL PORTILLO",81,NA
"7","IRAZOLA","PADRE ABAD",13,1
"8","MANANTAY","CORONEL PORTILLO",760,8
"9","MASISEA","CORONEL PORTILLO",7,2
"10","NESHUYA","PADRE ABAD",2,1
"11","NUEVA REQUENA","CORONEL PORTILLO",37,NA
"12","PADRE ABAD","PADRE ABAD",110,NA
"13","SEPAHUA","ATALAYA",2,NA
"14","TAHUANIA","ATALAYA",2,NA
"15","YARINACOCHA","CORONEL PORTILLO",1569,10
